4.215888060524006e-6,9.436365031400217e-6,1.7787438969521937e-5,2.844969671856411e-5,3.902107126285595e-5,4.649225328885761e-5,4.874893459458831e-5,4.5436440291814967e-5,3.784974598615667e-5,2.8271893639459582e-5,1.9068628378438457e-5,1.1793137136790058e-5,6.819190239296838e-6,3.716332026443137e-6,1.8781627641529448e-6,8.505741321110114e-7,3.3317219999437083e-7,1.0992744693282617e-7,3.0043979300891286e-8,6.735228247953476e-9
9.897070816412185e-6,2.0594151856921724e-5,3.6551392769277954e-5,5.568026169208635e-5,7.356131880913252e-5,8.543703973702234e-5,8.84113415081307e-5,8.21763956356432e-5,6.856097219630062e-5,5.095542498764807e-5,3.346347792380352e-5,1.939289762610683e-5,1.0014720428747341e-5,4.695205498008533e-6,2.0307240177633928e-6,8.089621439531288e-7,2.9018687358549243e-7,9.080404965204436e-8,2.4101069440806518e-8,5.3210856447841565e-9
1.8313803405140286e-5,3.458455634381595e-5,5.6693378418066645e-5,8.119998229841254e-5,0.00010261643962057602,0.00011587928710267732,0.00011829436652877425,0.00010965448692824645,9.170180984045321e-5,6.814978015865353e-5,4.4241369580022394e-5,2.4760228140833787e-5,1.1881814325930301e-5,4.910327880087093e-6,1.7735945909425466e-6,5.722090801133717e-7,1.6790151194852466e-7,4.4853162633961766e-8,1.0701998068766318e-8,2.2161759253420876e-9
2.7852382961183704e-5,4.8045199528679676e-5,7.239361668891881e-5,9.632569663707571e-5,0.00011455723563929095,0.0001233534098126588,0.00012151075830964155,0.00010972260656840999,8.995668468021315e-5,6.573932528681357e-5,4.194182076917111e-5,2.2947816162707844e-5,1.0631451376192542e-5,4.141157477898842e-6,1.3546004281335906e-6,3.7422733006075787e-7,8.854292115822264e-8,1.8335467225535395e-8,3.400876227265231e-9,5.717580807403772e-10
3.583857890844132e-5,5.881457731102977e-5,8.350679791239651e-5,0.00010381318019565308,0.00011457416355527053,0.0001140196821316143,0.00010379268935777209,8.70449777053846e-5,6.689852514906727e-5,4.633356192960835e-5,2.8293590543272586e-5,1.4923786745180684e-5,6.690241702196386e-6,2.5196638835260385e-6,7.910656578028861e-7,2.0610153275305586e-7,4.450178754302904e-8,7.98505492650644e-9,1.2006208596808134e-9,1.5367662442775908e-10
4.258365101838057e-5,6.824566063227779e-5,9.339353564515223e-5,0.00011015417224364967,0.0001133609999735003,0.00010343504988307314,8.52253244811131e-5,6.439587909962214e-5,4.486048648196314e-5,2.8583760174646606e-5,1.636896727850272e-5,8.258167979910446e-6,3.6060642055332192e-6,1.3440569271538776e-6,4.230649764796588e-7,1.1154090427497284e-7,2.4474855882442815e-8,4.447536661663093e-9,6.668874929171941e-10,8.232044095367138e-11
4.292059543870719e-5,6.738832845287828e-5,8.96512129667353e-5,0.00010185299146803715,0.0001000242511987294,8.654155637615115e-5,6.779288287631232e-5,4.9620286014784504e-5,3.473383390719131e-5,2.3277513062146076e-5,1.4605803615142582e-5,8.29989190731295e-6,4.138488753045324e-6,1.766467255232876e-6,6.34139015655037e-7,1.8913121670864456e-7,4.647234745297081e-8,9.353333265766275e-9,1.535777840508712e-9,2.051356975589219e-10
2.8843655896274174e-5,4.4671090996108475e-5,5.844379795450161e-5,6.513285615796231e-5,6.285901224156765e-5,5.430151776057541e-5,4.4435670601697386e-5,3.6713428806767464e-5,3.122558928978671e-5,2.6051002713282637e-5,1.9857020574613065e-5,1.3121241014279322e-5,7.296771234112967e-6,3.362177844461623e-6,1.272843646398161e-6,3.939431749727639e-7,9.935795146011521e-8,2.037546648829794e-8,3.391745230975546e-9,4.5770572946844285e-10
1.0799999715818098e-5,1.6714726680921735e-5,2.1868666749907294e-5,2.4492615287894408e-5,2.4220705131458965e-5,2.2616647981846167e-5,2.1944592437668512e-5,2.3074281243584973e-5,2.4548938686076154e-5,2.3900050118847096e-5,1.9974734669932395e-5,1.3913592982096786e-5,7.976030222146039e-6,3.7413228215022733e-6,1.4315946039908972e-6,4.459697462306116e-7,1.1293375908151896e-7,2.3218229436563077e-8,3.871237342192105e-9,5.229671405119248e-10
2.0174595379405096e-6,3.1666239181904537e-6,4.231607329444009e-6,4.945914734184163e-6,5.40287148841836e-6,6.156682283513029e-6,7.801911810501828e-6,1.0239653408817204e-5,1.2379442465105283e-5,1.282426078411673e-5,1.1037742713302667e-5,7.800836633591429e-6,4.5059369381436274e-6,2.1224382694031335e-6,8.140687524717445e-7,2.5394918874530385e-7,6.436056368291137e-8,1.3238434348889988e-8,2.2079254157365723e-9,2.983224550839823e-10
