1.2108644699736711e-5,5.9803930865932265e-5,8.621143589286894e-5,4.477814245131845e-5,7.488376077483896e-6,1.4159437877514194e-6,2.314200169485122e-6,3.047058689052864e-6,1.939501346242794e-6,1.1078615073499915e-6,3.4612143692521527e-6,6.0837469975775714e-6,4.3208842179542735e-6,1.4730250255262306e-6,4.837029773824315e-7,1.1245974435414056e-7,6.00016364179013e-9,5.4557182218637464e-11,8.116429627271487e-14,1.964143558503049e-17
6.08755739922582e-6,3.117169367409556e-5,4.611334449230289e-5,2.479161286507031e-5,5.379318850881876e-6,3.6220375559313277e-6,4.313515049632464e-6,3.50708099582875e-6,2.368907757162617e-6,1.8474212346013013e-6,4.2912768943619695e-6,7.956515188169989e-6,7.200666104499827e-6,4.716176422427938e-6,2.783749237384136e-6,7.183672215639198e-7,3.858332649874233e-8,3.5094555272813957e-10,5.221083758278723e-13,1.2634825999004217e-16
7.45737830086779e-7,4.126258388557981e-6,6.468830086458934e-6,3.849484251668006e-6,2.4024358227972416e-6,4.465021559456093e-6,4.145212746745473e-6,2.556375752486841e-6,4.277457825575104e-6,4.784997747463811e-6,3.198556739747171e-6,3.714716786917451e-6,4.543885753135946e-6,5.034665779036539e-6,3.7084096582172856e-6,9.840956920150673e-7,5.2948242575903395e-8,4.816504864769114e-10,7.165640545758122e-13,1.7340584516784416e-16
2.0263892993881488e-8,1.2452561779111916e-7,2.0929604479066333e-7,1.9315814435903327e-7,7.97531666813861e-7,1.9471584668175376e-6,1.6650105876091574e-6,1.5395982209621313e-6,4.663165212975441e-6,5.769484468273516e-6,4.327639397321185e-6,4.071205842114015e-6,2.8535664459890963e-6,2.004839400067525e-6,1.4945351257732836e-6,4.018371272319621e-7,2.1643018643255408e-8,1.9689004160251305e-10,2.9291938088463257e-13,7.088541583666655e-17
1.0721437244467946e-10,7.077687934563883e-10,1.2956911255666279e-9,5.7717971093507195e-9,5.815128740025054e-8,1.456714603312733e-7,1.372170581268678e-7,4.146857010484201e-7,1.59931905115158e-6,2.6885999993862734e-6,6.140180359673497e-6,8.932639992037124e-6,4.920411339237525e-6,7.553309829340506e-7,1.1149881175995894e-7,2.6163889655970173e-8,1.406628609507871e-9,1.2796271240041981e-11,1.9037423160169773e-14,4.606986842037086e-18
8.394339036163357e-14,5.755511043162636e-13,1.667002240583536e-12,4.522569141664674e-11,5.15165728016436e-10,1.2991027343056953e-9,1.9918199765618405e-9,2.00032903409644e-8,9.748773060338848e-8,7.139730169805646e-7,4.0433707155459245e-6,6.534129264723848e-6,3.59264293260896e-6,4.784050439606101e-7,1.2078290155459608e-8,2.4353843274186406e-10,1.075254191085243e-11,9.756417410033254e-14,1.4514508336619528e-16,3.5124568524047025e-20
8.226590519284857e-18,5.897505108413834e-17,7.651925308427385e-16,4.4479032158256006e-14,5.127867717860403e-13,1.3300986011167758e-12,6.595114907588168e-12,1.2911509932707074e-10,3.22631918836313e-9,9.860795773686385e-8,6.339973445618314e-7,1.0328159644321924e-6,5.680610598715343e-7,7.552516391355119e-8,1.7949436790309044e-9,7.213737379480065e-12,1.3663942868185156e-14,8.378701231859958e-17,1.2396364013963966e-19,2.999685467870436e-23
9.463546216963067e-23,8.488256554502313e-22,7.493387546607897e-20,4.927763137066335e-18,5.691056670954956e-17,1.719295507725744e-16,3.9642651190358796e-15,3.3372152411853095e-13,5.5546990396091215e-11,1.966859086218512e-9,1.2710871031405079e-8,2.0712964908125695e-8,1.1392547413316805e-8,1.5146558000943082e-9,3.598542592685665e-11,1.4128068700862387e-13,9.122957075776833e-17,1.7323384246496587e-20,1.1953114316386989e-23,2.8546259745410844e-27
1.2529462367749038e-28,3.125559709142104e-27,9.12630079454584e-25,6.085640853480652e-23,7.052584082450041e-22,3.968690003588804e-21,7.126204320241387e-19,5.8901969456761815e-16,1.2534008603498107e-13,4.461565086193394e-12,2.8837844324078753e-11,4.6993098059501656e-11,2.5847162377958913e-11,3.4364178532733976e-12,8.164281432634004e-14,3.204980234430493e-16,2.0501182092690741e-19,2.1400639904615503e-23,4.851555018334062e-28,3.12283999326137e-32
1.9750316637310354e-35,3.2128315181932196e-33,1.2531320396143107e-30,8.369199090690231e-29,9.893407415744944e-28,3.3860067793650745e-26,1.1424096888723756e-22,1.476787201821773e-19,3.171275612693171e-17,1.1290299072607051e-15,7.29765599346966e-15,1.1891997561551666e-14,6.540841308474133e-15,8.696143709814008e-16,2.066039903380497e-17,8.110467083287543e-20,5.1877635970100853e-23,5.39445562449604e-27,9.129838700789255e-32,2.8594684941323417e-37
4.987681028031153e-43,4.738466705904241e-40,1.9183943780735946e-37,1.2818088732219843e-35,1.7674349472748903e-34,4.060029800407802e-31,3.159483694484021e-27,4.160490708414857e-24,8.936946388923466e-22,3.181727714959593e-20,2.0565583156863415e-19,3.351293449899626e-19,1.8432797797062144e-19,2.4506672927768193e-20,5.822323762769829e-22,2.285617283262542e-24,1.461967549933441e-27,1.5201881113637387e-31,2.5687525944427554e-36,7.05772481658249e-42
