x,y
3976,3263
3603,3444
2861,3133
582,1798
3574,1259
3651,3046
383,1368
3862,2981
2145,463
3931,3563
999,260
3633,1042
3660,3678
2997,3489
3903,3199
3796,2950
3924,3193
749,2168
2247,3974
3113,3672
2325,3770
3888,3190
1893,1280
3967,3295
1594,2698
1411,215
566,1881
2159,464
979,1486
888,2719
3380,1999
3538,1249
3571,774
3836,411
2009,2185
2307,3813
381,2486
3891,3036
3971,3545
2899,1927
3951,3454
3996,3214
1406,768
686,1340
1705,3931
1750,3956
3733,1514
2826,1137
3659,1275
3853,3682
3792,2984
2902,2627
3032,3352
108,2776
3450,1165
3590,3536
3152,1248
320,2783
3695,1516
3643,1364
3583,818
3803,3104
3378,1010
542,1858
3903,3483
1270,2640
3935,3544
2129,728
3629,3127
2142,74
3393,1126
3236,1740
3730,3426
3101,1374
3600,2785
3643,1357
196,424
3838,3154
1358,918
1957,2175
3820,1565
1256,2558
3576,787
3317,3672
3425,1154
2996,3417
1197,2472
3640,218
887,3048
3859,3283
3858,3237
758,791
1246,2748
3454,119
3801,3026
3937,3248
1571,2136
567,1522
2216,573
441,2145
3561,2112
759,1182
3653,844
1300,911
1816,2163
3705,776
3869,3176
580,1853
413,2991
1729,1203
3280,253
3330,1880
1712,1886
2572,462
1699,185
2927,2247
187,2781
3926,3616
854,278
2908,3118
1551,2628
1315,1045
1711,3909
3723,3407
1829,1778
1887,1652
2932,2544
3768,2937
1303,2468
3711,1314
1587,150
1392,867
3922,3569
3816,3301
3850,3339
3654,3472
3350,3566
2627,1546
1289,2478
1747,1447
3729,3258
2535,108
3683,811
3890,3026
3708,3279
3462,3567
2644,636
176,2817
3943,3670
3310,3691
1692,1217
1552,2687
1003,1324
3795,3132
1929,2239
1931,1628
3783,377
494,2067
3783,3160
3741,724
3608,2805
2996,3408
1599,2118
3935,3458
3057,3886
3773,3180
926,1417
3233,3762
2336,3717
3773,3190
2275,3756
2862,826
1240,2572
3945,3606
1955,883
1791,1536
682,1466
1907,2248
3974,3014
2592,286
801,1455
3939,3455
3712,2285
2348,3587
2063,814
3795,3762
272,364
1322,2454
