x,y
205,274
3199,3791
3361,3283
467,3291
3933,3315
645,220
898,485
1087,1137
2596,3843
2960,3496
1249,3065
2968,3575
524,2727
1310,323
1920,816
2455,2760
1828,3082
2027,3279
1457,33
2395,3626
3051,3942
827,1963
2429,3859
1623,881
874,598
2570,3828
260,1312
2651,3995
1749,771
891,2936
1141,306
911,3398
1933,3800
1880,2221
3135,3681
1078,3324
1089,2705
812,3302
1140,3521
659,1168
1246,1231
2392,2865
1378,2068
2254,2181
2881,3998
954,3380
1565,1045
836,3010
1479,1512
403,1763
1030,3303
3602,3291
237,2788
606,1383
3924,2293
3481,3509
533,807
1636,1842
1962,560
2424,3550
1441,969
1010,2209
161,422
1521,938
1739,2615
2570,3207
1167,2895
816,1767
1327,1811
1396,1065
253,354
1387,3094
107,70
2953,3588
726,349
1005,1338
696,1817
3576,2539
1751,3562
785,2066
1832,3053
150,417
1641,3985
810,799
2875,3475
526,1034
2125,2745
2433,3837
342,1647
1918,3540
56,686
927,3283
857,372
1744,669
3877,2371
657,163
1469,100
595,2911
3568,1128
1213,587
222,2398
3959,2277
1099,352
590,445
442,2714
1133,2959
1979,3918
2332,2854
400,782
1640,2927
1680,857
3391,3517
723,2787
381,1719
1797,835
3021,3754
2029,3241
245,359
3854,3323
2451,3711
1503,3167
1344,1066
2555,3388
1295,1506
13,1537
1700,1062
1520,377
1182,3158
459,3205
203,967
1427,493
530,2963
2149,2361
2149,530
1048,725
745,1922
178,752
1212,312
1192,1814
1119,795
59,1014
1188,1598
1278,433
609,994
1493,441
1102,2273
595,2284
471,1280
1996,3813
2726,3089
678,1376
73,1789
211,326
808,3288
1812,3321
1500,559
1281,1724
2609,3158
2310,2910
1458,24
2364,3233
1246,1681
2468,1029
2946,2952
1970,2140
756,1322
367,1238
1697,3251
1693,596
3083,3356
2131,3061
153,52
670,349
3121,2853
591,2497
410,3003
501,3143
176,347
830,3249
385,814
1214,281
2814,3388
870,2918
1928,2252
3843,2365
1401,1594
2870,3560
1116,3447
3341,3130
218,194
3260,698
1357,3022
3863,2370
1074,172
3526,2522
3199,2786
937,3484
3952,2446
1215,2115
851,3008
1017,363
2,1711
1917,300
28,968
3357,3347
1095,2584
793,2445
3615,3489
799,926
368,1396
205,639
2815,3398
1715,245
1471,1822
1042,845
1868,3107
3151,2467
2410,3502
762,190
2218,3096
1244,1710
3708,2313
1373,1531
1382,587
1961,3015
48,1233
1983,2183
857,3054
178,515
355,2984
1185,1327
1108,1386
3074,3205
181,583
1925,2261
1269,1914
760,3069
276,972
3067,3268
1627,232
1673,1119
2281,3105
3238,2799
1308,1921
407,2796
1353,1002
878,163
1275,810
1074,3026
1355,2467
729,2963
1029,2700
1261,394
3521,3519
774,3309
813,2794
2180,492
1017,143
2791,2860
1529,2584
2857,3365
2985,3064
2140,3254
1612,2240
3364,2874
2424,3699
1501,439
3332,3337
1405,2509
1917,672
170,2473
291,470
345,2756
745,555
754,164
1117,349
586,1699
1011,554
1567,2874
2166,2714
2416,2950
162,479
197,25
2040,1727
1297,335
267,999
2419,3569
2113,3042
463,2692
699,3179
505,2962
1877,2083
589,1170
161,2852
1375,194
1070,1963
923,2786
1211,3422
190,1870
1129,3028
186,1327
1913,2495
1742,760
1070,345
1420,2053
1383,3078
1316,1781
995,794
2247,3466
1811,3560
1282,970
311,3050
674,317
542,467
1662,2927
3270,3465
1668,1082
3747,3361
2444,2791
1232,2201
311,280
964,3400
366,1547
1267,2096
1246,1238
1791,3648
1781,2939
889,2997
216,562
2365,2923
253,2368
2469,2766
948,3455
921,759
3139,3143
233,436
833,2831
1272,1777
3455,744
1090,3581
2341,433
2422,3621
3027,2576
3540,3392
1490,2660
3078,3254
2928,2855
918,3275
390,2790
3324,2784
1406,416
608,682
3071,3840
664,100
1632,212
3441,3356
1305,1045
265,2074
561,1394
1365,3265
545,2949
364,3113
1285,2257
691,2919
286,185
3150,3627
1680,1059
1014,1667
983,492
803,2424
737,3066
1760,3817
883,2062
1543,3421
1516,3959
3337,3340
321,2321
1697,271
2361,2925
1201,1493
2908,3123
1976,3020
1093,1470
1549,3265
1081,2995
1161,3058
2808,2884
2094,3062
2438,2256
192,206
977,2895
413,2707
1273,864
3171,3009
536,3059
3385,2979
282,1226
882,2794
1972,2304
1079,3716
1777,2467
228,2907
1337,2037
3463,2584
3647,1122
1297,1914
2211,485
3028,3885
446,1855
3905,2320
2313,3650
406,1172
629,134
2802,3406
122,1652
1337,2658
1003,3996
344,1007
1179,569
1556,3073
2713,3239
440,2619
2780,3366
3069,3528
1682,1008
3070,3028
1489,309
714,2861
2072,2199
646,426
1488,923
705,2657
361,1091
80,883
1414,267
669,539
1873,2149
2565,3687
2985,3870
1636,301
1705,439
216,3094
3245,2841
1488,587
499,2494
951,296
2865,3050
1429,1922
2050,2663
235,314
93,462
985,731
2395,2249
1907,300
153,988
161,160
1265,1476
2979,3931
763,37
2875,3244
3284,3715
834,2779
1629,1087
328,1476
901,1719
1370,2049
1551,893
1620,2280
1277,1494
1379,1615
3457,3023
194,478
2703,2591
203,2109
1955,717
744,64
3067,3580
3002,3517
1892,2218
1176,1406
1790,3726
1212,1593
2441,3683
175,408
1093,878
1358,1081
270,2873
1480,386
535,1540
3009,2914
944,2041
1218,550
3881,2427
2747,1538
1494,924
3194,3151
266,1801
2314,1671
1923,2381
96,81
697,2910
1665,866
3597,2508
446,3086
631,1706
661,2950
3439,3035
1347,3153
1182,1941
1195,1116
907,2882
874,1648
2215,3095
2256,2967
651,2609
2483,3589
3928,2398
165,2393
626,3069
3411,2985
1224,1574
3063,3823
1194,869
3488,3515
1157,898
3797,2299
1544,229
185,2359
215,84
1034,401
721,1105
335,2250
1204,2304
2443,3665
1775,1803
1680,850
651,577
