x,y
2956,3470
2418,1974
3143,733
3304,3603
1819,1211
3001,544
474,2092
1022,3722
3092,523
3250,941
3100,3890
3048,1020
2517,2648
3263,2964
2693,1849
3170,382
1610,2858
3674,810
2917,1317
3531,1094
84,3425
2958,974
795,3149
3136,1444
3001,627
3358,1220
1115,2225
1409,460
1254,3690
1735,2778
3223,3536
3386,1169
1107,2226
2219,3217
3241,1094
336,248
793,3619
2399,1694
986,3684
3215,1978
2362,3118
2460,1839
290,1583
1829,1599
1273,935
2619,799
3055,614
2948,858
2736,1259
1800,1679
710,3661
1724,1437
1056,254
617,2392
3166,603
2342,2934
2583,1689
130,942
2142,3143
529,3264
2349,2388
1256,298
3126,1025
2249,3245
2335,240
3123,834
3116,3819
653,1552
1007,3717
2244,2237
651,115
84,3092
1288,1954
1698,2810
2749,968
1396,3795
3105,1478
871,1720
2856,700
2449,53
263,165
3227,1568
824,3549
3173,1274
3476,831
1189,3573
2922,547
2325,2316
3006,948
3153,709
2829,1193
2408,1839
1408,498
2524,2982
2722,1223
2533,3980
3327,392
1320,3858
908,3441
2520,547
3203,878
734,3076
31,3955
1680,407
107,1422
791,3127
804,3562
3500,1470
1202,2073
3058,3540
1744,2528
2289,357
2939,939
1231,3728
3330,1377
3381,3833
2785,3445
3318,1906
3910,2167
2440,2931
729,2285
2088,2066
2980,3492
2557,2284
284,3042
2256,2056
2368,2220
2511,3092
1642,2518
2990,639
2381,3085
2235,1986
1220,3748
3450,1714
3026,3361
2895,402
1164,1675
366,2217
3148,3822
3669,816
881,377
1263,944
1308,1500
2180,2063
2685,2849
1325,3460
1540,533
3395,1147
2912,3692
1825,2054
271,3940
2957,861
2737,2118
2688,2079
898,3578
2881,1570
2218,3228
2681,3721
1149,833
2731,929
260,1633
2541,1643
114,1798
95,1847
3345,1707
3175,366
833,3285
1508,1677
2761,3504
3440,734
3020,1259
3449,392
2393,3208
8,1977
2607,1676
2855,407
1165,242
2263,2876
2932,3209
2517,542
1221,988
2681,3038
2679,3015
192,1484
906,3880
2302,350
3523,1544
1222,3752
984,3479
2969,958
2159,2837
2026,340
3531,587
3620,521
2934,1204
2013,1292
1224,327
9,1964
1188,2044
3327,663
2958,845
2951,1057
900,3882
2664,3079
2896,3593
1438,2691
3516,419
3352,1582
1041,266
3272,947
2202,2232
377,1432
77,1252
2508,570
651,81
3309,365
2194,2755
2733,2010
3708,1866
1774,1243
1290,3479
530,3526
2239,2215
3401,3920
2343,1652
3095,680
328,1573
1223,232
3125,3138
663,2396
3004,799
2502,2349
1303,1338
683,32
1983,2563
1274,3306
1082,2552
291,166
3125,835
2333,260
2941,3698
2349,1663
717,2718
2983,381
2923,3623
761,60
3396,3960
2331,2062
2564,2218
1515,1711
1772,1306
3672,2667
1820,1694
3202,1771
2355,2094
2705,3012
888,2746
2995,850
2825,1161
1534,3815
220,1628
2974,3841
3131,352
865,3583
1038,2278
1138,2178
1846,322
856,2368
1413,260
2404,2900
2207,1992
3578,1462
3459,1086
3042,3747
2978,816
3006,1063
2186,2867
1312,299
95,1869
3250,1918
3607,740
1525,2591
931,3605
3964,6
1065,3750
3171,366
1004,242
3249,1930
3030,849
1448,776
1213,3719
792,3605
43,1298
3156,565
1777,1268
2171,3127
2148,2322
1345,1553
3081,1005
137,3032
2556,3865
2488,2338
1131,1475
3044,3564
1319,2260
3394,2082
1213,2623
3266,1058
2829,3497
2959,551
2182,2829
3345,1244
1103,940
1157,2235
2336,1969
1331,1611
3038,1327
3225,1140
3604,909
2209,2038
1810,1103
2534,2219
1912,265
2062,94
2974,1200
2069,261
2190,2232
2795,3621
3541,1538
869,3841
2403,2066
3433,379
3476,1484
1206,182
2789,1552
2538,2203
3513,3920
3294,3562
2478,3198
1129,2283
2692,1929
2583,3090
2973,1338
1158,3877
2566,3781
1155,3878
3522,3861
1314,809
3379,1786
3339,3625
3239,1617
3637,843
2633,3175
2938,720
1113,3519
3021,364
1313,2167
2078,1924
2320,1979
3106,1292
2525,3209
1439,2742
207,378
3377,3385
275,1627
1858,237
2733,3538
