x,y
2909,2387
2185,1571
1069,229
2677,1650
3903,3001
2599,2164
354,65
802,1350
2835,3302
3772,2126
3234,1153
3904,2986
1112,2463
2819,3257
1023,268
2155,2222
3756,2835
3559,116
2458,1681
3106,2051
2640,713
3921,373
772,1816
1800,355
2742,290
847,119
2766,3325
3860,96
1263,1096
589,91
3494,380
804,1345
2796,3294
685,894
3874,110
3940,169
2317,2174
948,275
1032,2241
2792,2794
3463,1584
580,2
2687,56
3768,168
2471,1797
288,80
284,54
625,89
1377,2459
103,275
782,151
557,77
2863,2777
2541,2177
3485,696
1824,2144
1168,2435
189,683
514,45
136,2303
3044,3806
2673,3934
233,763
993,2404
3780,2897
2062,1378
806,1328
3836,2795
3751,157
358,2221
3970,141
3823,2799
3909,94
2700,2119
608,1008
3239,726
2201,1093
2557,1857
2808,2578
2692,3961
1811,80
774,101
2776,79
775,141
2857,2865
3044,3768
940,2257
3762,151
570,1057
575,1069
1024,2422
3309,124
2685,2247
3963,2979
3305,1089
810,201
2862,3393
2705,3895
801,158
3833,2790
