x,y
641,1587
148,1587
281,960
614,37
2513,3302
55,3417
800,199
186,2679
389,2534
371,709
528,404
388,2388
1222,377
507,1136
476,2724
1053,826
613,1014
9,3654
773,39
688,1455
613,1623
48,2863
41,2710
99,2533
449,1055
896,2326
285,2881
901,3074
152,1584
195,2711
421,2560
70,1698
385,2645
2533,3359
373,858
729,2398
344,3342
737,355
312,1132
390,2672
209,3399
191,3178
394,2641
258,3753
374,1438
670,1352
583,332
104,3453
369,3343
345,1485
287,3425
299,2230
72,2177
486,923
218,991
407,866
1234,219
318,2126
132,3961
18,4
2005,2006
389,783
41,2447
66,2282
333,373
210,1959
763,1729
275,2807
360,792
2,2284
915,1849
364,3383
384,1225
162,2385
1815,2275
165,1199
374,2492
748,221
264,2890
232,1966
122,3878
257,1834
110,2398
301,2226
159,2137
2603,602
77,3379
476,3806
343,3485
397,2474
18,3402
1882,788
107,3063
324,1108
170,2557
171,2912
262,1348
592,1795
375,3438
424,1386
441,623
11,2611
286,2715
261,1387
529,428
369,460
251,590
60,3387
430,2291
760,868
36,3142
169,2120
598,206
387,2508
593,1307
170,2112
2655,1487
461,1183
5,3719
1060,73
119,1993
263,3178
328,2667
1612,1080
367,1476
470,1606
428,2284
339,1599
678,485
413,1240
117,2126
413,2514
383,1403
211,2425
732,1025
282,1459
693,1164
268,3004
134,1678
299,829
722,33
2490,3405
298,445
106,1884
527,170
506,768
501,1938
152,2133
232,3257
167,1792
685,893
299,1548
329,3268
1789,1646
540,230
417,778
622,1297
149,2531
368,1569
219,2459
310,1064
404,1700
221,1446
664,751
221,2949
1873,775
310,248
296,3394
154,2148
208,3241
3,2655
619,1306
234,3563
334,2795
425,1000
543,740
354,354
611,76
659,605
317,521
538,554
545,191
578,805
287,2375
417,6
337,3876
138,2774
1780,2191
464,146
587,1319
2650,1235
131,2037
476,1922
240,3260
699,1047
731,380
1609,1088
187,2867
123,2501
405,2567
1332,1138
442,1367
310,1735
49,3548
410,2596
527,1300
736,1132
80,1819
289,3130
2207,2294
308,1952
158,1811
256,2116
350,1425
309,2139
45,2341
173,1571
629,1067
285,1259
261,2785
69,3163
518,596
723,5
603,164
258,1493
352,445
599,1240
3031,1263
688,561
365,468
344,3109
621,2
191,2117
182,2823
62,1972
275,2578
112,1776
408,3303
48,3334
373,733
224,3271
291,1015
406,2351
177,3522
575,1571
302,461
173,2905
1544,819
415,1834
77,2798
395,376
502,1693
186,2315
86,1901
101,2469
82,2947
238,1337
148,3859
323,1353
342,3424
65,2896
263,3309
296,3678
632,683
521,3595
149,1602
623,1561
307,3836
101,3021
153,2492
220,3244
325,2063
4,910
97,3862
398,2171
33,3950
515,1259
287,2046
356,788
246,3100
472,1941
127,1638
196,3470
146,1652
74,2494
471,1881
443,2519
269,41
123,2585
169,2428
453,3555
257,1290
319,724
427,862
16,3055
384,2726
115,3077
705,165
210,3872
286,2593
21,2820
410,994
51,2501
61,1986
481,2530
124,2646
330,3493
322,3026
663,3806
434,3648
548,919
217,1388
672,1377
90,3475
105,2762
405,1192
133,3248
231,148
1385,1257
325,3589
3490,1763
425,2555
579,1859
167,2347
445,135
100,2579
267,1177
2708,1195
129,2694
375,1372
280,2708
232,246
1628,2249
2029,2096
82,2988
1568,1075
523,245
672,379
290,2596
212,2095
604,1869
2364,607
166,1537
349,1328
130,1846
266,2647
484,1162
233,2240
376,1333
251,1448
195,2285
175,2935
579,642
566,1516
2370,544
384,535
234,163
2764,1302
262,1504
403,3769
574,2
136,2581
326,1115
441,1530
324,3554
129,2798
1,3098
181,3247
144,2408
498,827
484,676
431,64
278,1393
507,1855
218,1450
3530,1717
71,3097
493,1737
194,2019
249,3778
421,2725
42,1901
400,605
212,3444
333,288
126,3797
207,2532
722,173
772,308
505,1446
977,1983
1575,1022
78,3773
249,167
396,1175
318,3022
261,2781
300,2551
136,3920
388,1839
757,351
264,1419
85,2771
8,239
685,1101
117,2143
110,3335
443,3550
20,2836
156,2726
291,165
32,2667
58,2383
61,2508
67,3232
1168,990
387,3540
241,182
298,473
556,1230
48,627
205,1505
275,15
300,3171
413,773
391,560
348,2723
206,168
490,1367
376,1327
278,1709
325,785
453,587
14,3860
660,414
1051,832
237,1367
395,644
283,2759
180,1819
433,2463
467,1026
32,2408
207,3421
433,600
495,502
488,3605
378,1945
133,1376
2562,602
60,3223
397,2715
1457,1054
457,1878
392,10
20,3284
425,757
409,1023
434,1356
564,749
165,2419
433,2899
514,1163
146,2208
398,3251
663,1765
412,2695
290,3618
203,3540
391,2261
355,3064
1668,986
194,2867
830,34
422,2231
184,3460
1873,685
319,2664
592,301
760,393
270,932
294,1518
114,2943
247,2251
450,1200
308,971
288,3070
327,1754
358,533
533,1961
601,1070
580,1402
611,1291
275,3853
418,1895
156,3886
75,770
269,1316
319,129
288,2037
719,409
48,908
418,3817
136,2242
311,2973
272,1738
72,1749
978,968
286,1313
290,1677
60,3096
30,3878
643,575
592,730
198,1493
96,2856
148,2030
279,2172
646,1524
321,743
357,949
419,1760
178,2541
2079,689
2287,1980
300,3359
7,3372
110,3458
62,3383
226,186
339,3392
2753,1264
366,3015
213,996
454,1776
97,2664
277,1101
114,2963
289,139
178,1200
390,1489
25,2475
102,3052
436,3105
218,2311
197,1568
146,2674
175,2565
172,2621
138,3832
303,3900
35,3980
3586,1804
283,46
261,3753
447,2107
706,524
282,974
153,1308
408,3779
659,1118
187,2089
841,16
171,2611
769,133
505,947
355,340
225,3399
341,3354
388,464
334,635
439,1078
396,1453
364,3296
405,1115
480,2384
126,3410
67,656
678,1248
326,1211
95,2055
456,1585
547,814
513,1858
237,2534
454,189
180,1761
473,1683
173,2136
482,3495
303,2010
1356,1176
429,704
375,3090
71,869
1036,2066
468,1669
454,1006
696,658
589,2143
42,3224
310,3594
244,1626
304,2806
105,1970
524,1580
108,3415
318,3860
445,594
672,231
353,3700
295,48
65,3892
220,3267
6,2782
735,1177
232,1859
140,2726
142,2529
245,687
16,3155
754,915
