x,y
3943,1659
2398,3038
3688,2101
3980,1612
109,527
2526,2572
1838,3646
3970,1569
2231,3638
3048,2879
3715,1093
3316,2723
2274,13
3897,1677
113,564
842,3197
373,562
1161,2029
2530,1337
1004,3979
3732,1702
3454,2407
3695,2182
3902,2454
3614,3672
1120,3183
851,3171
3609,1993
2486,1897
3952,2838
1366,1603
173,473
2457,3524
3229,1925
3550,2144
1563,3822
1397,3898
699,194
499,2047
712,3198
2372,1670
884,2653
3578,1867
1457,3912
2245,1477
3654,1656
2241,2032
553,2383
1041,3996
516,2500
3964,1652
2346,2746
494,217
3903,1284
408,215
3559,1403
1196,2582
3200,3875
2526,1042
3370,3789
1427,3041
2649,57
3690,2174
2912,2923
2,1764
3017,2239
3317,2663
3619,1963
3241,2026
3260,3799
853,1570
2469,2737
2673,3351
1748,3670
925,3080
3156,2111
1163,694
3349,1887
1775,3846
3192,3188
858,1574
1192,683
3133,1764
3124,1331
3971,1269
3695,2161
2274,2003
3817,3109
1453,3943
2467,3061
2288,1518
2206,1303
3135,3864
1437,3069
1499,3800
3740,1662
3974,2711
1416,3953
2392,2751
3139,3861
924,3153
2866,2489
2946,2488
1417,3112
3701,3024
2489,2992
1686,658
3818,1474
2907,3000
3020,2475
770,1447
3085,2384
2876,2114
1289,1569
2217,3618
3572,714
3885,3153
1261,2527
1328,849
1349,2576
3429,3771
799,1805
2110,964
2261,3608
1705,1052
2707,1201
3969,1566
3938,1664
2956,2181
3423,1897
3483,3752
2306,1536
3037,2869
3322,3976
3925,1711
3150,3858
238,537
3732,2996
1816,3907
1443,3819
3373,2634
1253,1992
1372,2786
2957,2240
336,1807
2802,2715
392,1046
821,393
2302,1947
3844,1650
3575,1538
3805,1794
824,821
3344,2954
2281,2036
3132,3845
3611,1404
3305,3835
3672,2046
3477,2268
3507,3722
3887,2453
2084,3592
3932,2109
2491,2595
3632,1375
3596,1691
1081,3793
3626,1600
1466,3820
3193,3869
2664,3379
702,2537
2417,1925
1437,2745
1225,3992
451,2434
3973,2806
3739,3827
3573,697
2408,2705
3140,2160
2458,1833
2597,834
3348,3947
2116,1370
527,2146
2147,3686
2755,2819
3736,2139
2192,178
1533,1525
3662,1802
547,942
1369,1616
647,374
3811,1457
3679,3023
485,933
1368,1605
95,1835
3131,2111
179,412
3509,2737
2265,1476
2596,2549
3579,2574
3998,3953
3862,1680
3065,2507
1209,3099
3512,2714
496,2267
2845,2727
2460,3663
3900,1703
928,2647
3632,1568
3847,2387
1236,2955
3453,2437
3133,3210
3969,3520
2631,217
2035,939
211,370
2259,3611
2719,1188
3663,2186
2731,1225
2484,2598
3902,1538
3445,2580
2421,3124
1311,3612
3120,1913
2383,340
1042,1563
3559,716
1429,3763
1875,3578
3156,1335
575,2821
3480,3769
3465,2119
3760,2110
2680,3880
2762,1213
2086,3509
1215,3692
3885,1713
3055,2313
1872,1470
85,593
806,1802
1831,3620
795,549
1827,3607
2536,3457
3779,1812
569,1560
3719,1627
2393,1542
3147,1368
3883,1669
1223,3235
1072,2621
1340,2585
3792,977
3505,3746
2479,286
1574,101
1432,3652
1996,831
447,2347
2543,2562
1420,1559
1503,3799
2583,3317
1737,3679
3497,2843
551,3564
647,383
660,377
764,1517
3895,734
1178,1637
2878,2946
3322,2690
141,1843
152,483
620,3937
1098,3927
3593,1691
799,1518
492,1015
3735,2141
2255,3636
1360,3204
32,1946
1956,804
1322,820
950,1474
3292,2734
1927,3564
2409,2751
571,1511
566,152
2690,3664
611,2564
2285,1972
2545,2622
3687,1829
3768,3109
3843,3108
3591,2250
1791,3700
1417,3054
2993,2851
2090,939
1460,3805
2222,2004
958,1874
3731,732
2678,3650
2520,2438
612,3477
845,1942
3170,3967
1424,2451
3625,2978
3972,3539
3091,2165
1956,3491
12,1719
1749,50
807,1538
2334,2789
3418,3775
1056,3831
3703,1831
2350,1681
493,1598
875,2668
749,3974
3225,1925
3019,1403
3648,2988
3092,2193
3019,2845
2956,3913
482,482
1386,3994
1024,3941
2828,3079
590,881
2470,1907
340,1975
3153,1765
3831,1441
523,3466
3045,1412
3514,2881
811,2049
3842,1685
3063,1315
364,457
2100,3501
2750,3803
2148,3616
1415,3719
2536,3454
2815,2692
346,555
3532,2178
3403,2803
3174,1342
3520,1496
3462,2463
586,141
1998,483
2376,3154
3992,3226
3573,1788
1340,3469
191,384
3598,1646
3058,3107
3326,2688
604,3613
466,2262
3553,1758
3020,1359
2650,3481
3987,2698
2559,412
2186,3633
525,2112
543,3323
2789,2721
3647,2194
3952,3236
1181,1662
2139,2091
3698,1678
2105,1369
3146,1444
2812,2699
1161,3206
1516,3788
2389,1548
192,375
1466,3743
1850,3686
2796,2924
1996,3655
2335,1827
1133,3015
3736,2419
3340,2673
1379,1548
3522,3741
2084,3721
3048,3926
1954,785
2483,1902
1676,3761
787,395
2609,3610
437,590
23,674
3518,3756
3506,1413
2462,2779
2415,3192
525,3471
2845,2529
3647,3813
3741,3025
2681,3664
3673,2174
2844,2919
3990,1275
3605,1751
1263,2920
3115,3223
2598,2555
1146,700
3951,1667
3434,2285
1918,3537
3596,1614
1103,3986
2587,3739
2069,196
3654,3923
3941,2319
801,390
2592,2550
3785,1812
2498,1909
2150,1453
3412,3769
1523,65
2849,2772
2458,2699
3624,1373
3597,717
641,60
2623,2746
3502,2391
2947,3913
3658,3628
1157,2055
229,1150
1810,1458
1040,3952
2541,85
2715,3944
3214,1380
2742,1191
3972,1703
544,2512
2389,1808
2496,892
3946,2823
1070,2621
157,440
2899,2971
2659,3326
2643,2754
33,1944
2241,123
3932,1258
3865,2471
2838,2727
807,1516
3525,2899
886,1484
832,405
3299,2695
3621,1681
2888,2937
1437,2542
3369,2644
3777,966
2717,3778
2427,243
3033,551
624,2575
2947,2176
3169,1346
3878,3165
1224,2561
2792,3941
1848,3685
1329,3935
3909,3916
3576,1379
726,80
3966,1701
1229,1935
1707,1044
2423,2689
2295,3626
2943,2483
2722,3935
1738,3692
2507,391
1944,3513
2312,1943
602,50
27,1772
1512,122
2217,3656
1257,2568
3443,1979
1434,2519
2569,419
3895,1726
1906,3573
3813,1732
829,1766
3560,1711
1390,3708
357,460
1071,2627
1438,2534
471,2431
84,547
1035,1902
3982,3941
1251,3673
218,1911
2114,3503
3661,1724
3664,2881
2466,1970
2524,892
3576,1734
642,1244
3491,1892
530,125
1456,3704
26,1931
442,698
328,1732
3871,1738
2470,1409
2713,3699
3859,1752
2461,2700
3214,1666
2083,982
1421,2585
531,2495
697,1224
3924,1665
1529,127
3623,3808
3549,3689
2481,2681
3934,2827
3563,1668
582,3631
893,2658
1333,3626
3466,2795
1634,6
3001,2817
3523,3733
1903,1059
2361,1533
3271,3135
1678,640
3690,1474
3513,2814
2771,3995
987,1486
2158,2104
1771,25
1304,1617
1134,641
2611,60
1408,3016
668,1608
3964,3422
540,3304
1376,2762
2228,157
509,2475
3670,1494
3207,1674
1083,3794
3427,3775
3772,3123
3694,1205
2275,20
2048,469
872,1582
3997,3251
3728,1824
3064,2897
2857,636
2690,2468
3052,2499
2077,3514
807,1532
955,1879
3809,1700
2908,2924
2882,2965
3661,3005
3801,3192
3645,1646
646,1290
3679,1872
2075,230
2837,2792
18,1756
1736,3706
3917,3913
3686,1606
2314,1940
2054,195
3676,2044
622,3931
1993,828
363,1878
1996,572
663,56
2733,3812
2090,987
3646,1634
227,1888
3034,1389
2561,304
803,1574
3627,3643
1247,2012
3553,2575
2349,1797
997,834
1669,3865
3837,2860
421,1067
3240,3833
1578,965
2962,2589
3462,2457
2773,3988
439,702
1219,3029
2714,2049
3628,2200
824,400
3579,2311
456,2322
486,695
384,225
3805,1703
2544,945
3818,3061
1429,2618
3529,1566
3358,3789
3527,1713
1767,980
3713,2998
422,2241
3925,2425
453,1045
412,2337
1132,1771
1975,676
2899,2988
2447,1834
3801,3088
3639,2982
2316,3603
2283,1472
2262,3409
3459,2442
2690,2026
2944,2486
3983,2822
3579,1903
3502,3745
3473,2331
264,1949
2433,3015
2734,1177
189,407
2246,3647
2615,3304
597,3433
2586,2567
3608,1559
3618,3800
3972,1595
1388,3912
3609,1984
2817,2683
3735,2119
2465,2691
2769,4000
15,1760
3817,1779
3029,2859
2928,2933
2896,2948
3689,1219
2746,3815
370,873
2776,3996
3610,1639
2735,2913
3571,1778
3078,2194
1191,673
2349,1802
3309,3795
3623,1678
3621,3668
1216,3211
3748,1729
3792,1446
1661,940
2657,2752
3700,1737
2366,2733
3368,2644
1368,3793
316,1763
496,979
2856,2104
346,1091
2578,3744
3843,1655
1366,1547
3105,2185
3272,3792
1499,90
2998,3077
2165,148
2751,1205
1087,3802
3460,2461
2244,3614
501,2268
3380,3
462,2334
1118,798
1664,948
355,1079
2403,1977
1245,3629
2226,1998
1416,3592
1917,190
3251,3826
1029,2452
3522,3713
643,370
1082,3903
642,1284
1244,2540
1671,644
1362,1617
3060,2537
1460,2518
359,1760
3099,1745
2747,3199
2243,2021
2346,84
3210,1379
1864,3663
1475,3782
2863,2110
2219,3658
1330,1579
1196,1631
3682,1664
3880,2170
3238,1647
2516,1926
1108,3850
3780,3138
1917,3542
1201,1962
3960,1684
2278,14
651,199
1744,3681
1555,20
3582,1621
1328,3253
3605,3904
3952,2828
2735,2773
2389,2696
1851,3603
654,3943
3958,1197
1931,3559
2379,1538
1220,3882
3570,2957
3039,2182
1631,3847
403,1076
216,546
2661,2763
2877,2962
3486,1433
